t_burst,gamma,theta,alpha,q,V,x,z
0.35000000000000003,-15.722684319630343,-1722.1474752716736,-1706.4247909520432,8819067.209693806,-69498735.5942513,-88.20200118652903,47.69418058250424
,,,,,,,
0.37,-1030.5021784029996,-746.0999113415197,284.4022670614798,-30.09062775311796,2.2338993870398625,15.760868171607026,10.938289382926897
0.38,-1016.4422731107941,-739.5833349113872,276.85893819940696,-30.115732992771086,2.27144438905121,15.691380094548677,10.529598911459564
0.39,-1006.5984694322265,-734.7425883735266,271.85588105869977,-30.142604314306453,2.335936515307356,15.679161603061456,10.180393785087384
0.4,-998.8120664566555,-730.7015003066136,268.11056615004196,-30.171693247012545,2.4095307660308416,15.699159307938633,9.883833779254337
0.41000000000000003,-991.2371757331496,-726.5465576503884,264.69061808276115,-30.20261444624775,2.501582673400672,15.7384042690791,9.629217074942368
0.42,-983.0043346632596,-721.7244504572433,261.2798842060162,-30.234590953966087,2.626507037250163,15.790243134602362,9.406854775011091
0.43,-973.872533890425,-715.9348621373139,257.9376717531111,-30.266551705297054,2.797310842495367,15.851556739160293,9.20895270406232
0.44,-963.9421664492228,-709.0318225704835,254.91034387873924,-30.29712399274025,3.0230605022402157,15.921259389557672,9.029602588018566
0.45,-953.4486295448154,-700.9612107817419,252.48741876307346,-30.324584863022455,3.3073031904559596,15.999438321900744,8.864573571261268
0.46,-942.6285183208968,-691.7236253946154,250.90489292628135,-30.346799555407085,3.6474441346535853,16.08681009914557,8.71109746831658
0.47000000000000003,-931.6539709002454,-681.3524110340762,250.30155986616919,-30.361167836095316,4.035167409837144,16.184329160657313,8.567677014918491
0.48,-920.6191013613295,-669.900352270094,250.71874909123545,-30.364601059949663,4.4575909210787135,16.29287297847549,8.433897347081494
0.49,-909.5546431708241,-657.431217545073,252.1234256257512,-30.353555330536157,4.898701222523293,16.412979983772427,8.310215166083402
0.5,-898.4505151074513,-644.013921773773,254.4365933336783,-30.32414498550002,5.340716682950477,16.54464503286393,8.197710448236045
0.51,-887.275046067809,-629.717996566528,257.55704950128097,-30.27235505865644,5.765184672168576,16.68719011792536,8.097800984228153
0.52,-875.9871997324955,-614.6096575635953,261.3775421689001,-30.194364343576222,6.153716765383036,16.839229087928242,8.011934850399031
0.53,-864.5421434287825,-598.7482737767225,265.79386965206004,-30.086988717086935,6.48829940979055,16.998736521964354,7.941285787468345
0.54,-852.8917134994927,-582.18354638677,270.7081671127227,-29.94826500153723,6.751126304441187,17.163215927984993,7.886477870425269
0.55,-840.9808686814254,-564.953982862112,276.0268858193134,-29.77821913271044,6.923925769905496,17.329948828699006,7.847358920611453
0.56,-828.7394343035006,-547.0868782682896,281.65255603521103,-29.57987834011748,6.986833538926619,17.49630582723632,7.822834253899154
0.5700000000000001,-816.0649531116144,-528.5989533368182,287.4659997747962,-29.360546632072545,6.917033408976909,17.660118682843652,7.810775543518965
0.58,-802.7859940225508,-509.4959992641289,293.28999475842187,-29.133188675331965,6.687829574184024,17.820132200266837,7.808038389590589
0.59,-788.5810104102303,-489.77047539028354,298.8105350199467,-28.917325555663474,6.270075180575037,17.97654331414604,7.810649627848189
0.6,-772.7905569109392,-469.3979382250748,303.3926186858644,-28.737933015121552,5.641210427624368,18.131567206765947,7.814255405120349
0.61,-753.9735944613205,-448.33577613855493,305.6378183227656,-28.61956519094193,4.8147363705651856,18.289833603225585,7.814936229833302
0.62,-729.1184062148407,-426.53017050209905,302.58823571274166,-28.57341191443792,3.9134597722680717,18.45827265598501,7.81045432470249
0.63,-694.8216461644655,-403.93440299190854,290.8872431725569,-28.584255162126688,3.2558720848299605,18.64527542929861,7.8021991084518305
0.64,-655.064942837529,-380.5264470337854,274.5384958037436,-28.619013444563834,3.1621582867371076,18.858619307550168,7.797523440093517
0.65,-618.8339093795411,-356.3119042729712,262.52200510656985,-28.648152758431316,3.595096096551402,19.102891733229438,7.808719442428666
0.66,-588.7224669053089,-331.32118608892085,257.4012808163881,-28.648794432646078,4.3158994155814305,19.378239503526824,7.850838823426906
0.67,-563.1585951747043,-305.6090385713297,257.5495566033746,-28.60057260548492,5.12158855068682,19.678589195935494,7.939955639728818
0.68,-540.336251084605,-279.2548930241058,261.08135806049916,-28.48520845172624,5.881219473563655,19.99075809168337,8.090157203359547
0.6900000000000001,-519.0488104930406,-252.3613716738844,266.6874388191562,-28.288965099669852,6.5126137121300225,20.29545141449886,8.310243687476165
0.7000000000000001,-498.56032736557654,-225.04917993356915,273.5111474320074,-28.006357466411608,6.962126562110669,20.5698429169723,8.60111576835503
0.71,-478.3965415500957,-197.44732911490337,280.9492124351923,-27.64419686955204,7.191242573752486,20.79123938253303,8.954478045723675
0.72,-458.17205737937337,-169.67831457304592,288.4937428063275,-27.22527995207004,7.166820588616019,20.941148218534668,9.353248269912408
0.73,-437.4081980250415,-141.8391007376572,295.56909728738424,-26.790498391202945,6.855858331835805,21.00896340501923,9.773727180072514
0.74,-415.2437015039473,-113.98200247828709,301.2616990256602,-26.395933213126238,6.234402677354595,20.994538061918135,10.189307999713758
0.75,-389.8774659276242,-86.10675912519854,303.7707068024257,-26.097657674720445,5.336056138877484,20.90888731532341,10.575409859772705
0.76,-357.95899513023284,-58.182284467316094,299.7767106629167,-25.919677408391482,4.369594423022832,20.772004151286453,10.915080189311347
0.77,-317.5200115144151,-30.200393781056814,287.31961773335826,-25.829555542264206,3.7809546899837994,20.60709184022631,11.204048049460402
